Pos,Player,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,Cluster_num
33,A Mukund,2,0,19.0,19.0,9.5,22,0.863636363636,0,0,1,0,1
34,LRPL Taylor,54,24,1017.0,81.0,35.922619047619044,801,1.2696629213500001,0,3,66,46,2
35,CH Gayle,100,25,3651.0,175.0,47.41556838223505,2360,1.54703389831,5,22,297,266,4
36,AN Ghosh,2,0,7.0,7.0,3.5,8,0.875,0,0,1,0,1
37,MDKJ Perera,2,1,14.0,14.0,14.0,12,1.16666666667,0,0,3,0,1
38,SP Narine,30,16,271.0,54.0,,179,1.51396648045,0,1,36,12,1
39,BAW Mendis,3,2,3.0,2.0,inf,6,0.5,0,0,0,0,1
40,RA Tripathi,14,3,391.0,93.0,35.54545454545455,263,1.48669201521,0,2,43,17,3
41,Imran Tahir,6,2,18.0,5.0,,25,0.72,0,0,3,0,1
42,P Negi,29,12,353.0,36.0,25.45833333333333,266,1.32706766917,0,0,26,16,3
43,GR Napier,1,0,15.0,15.0,15.0,16,0.9375,0,0,1,0,1
44,L Balaji,13,8,36.0,15.0,inf,47,0.7659574468089999,0,0,2,1,1
45,J Suchith,5,4,48.0,34.0,48.0,32,1.5,0,0,4,2,1
46,SL Malinga,20,8,88.0,17.0,inf,96,0.916666666667,0,0,6,5,1
47,AS Rajpoot,2,1,6.0,4.0,inf,13,0.46153846153800004,0,0,1,0,1
48,Sachin Baby,10,3,137.0,33.0,inf,98,1.39795918367,0,0,11,5,1
49,AJ Tye,3,2,53.0,25.0,53.0,29,1.8275862069,0,0,4,3,1
50,DJG Sammy,20,8,295.0,60.0,23.97619047619048,235,1.25531914894,0,1,15,18,3
51,JR Hopes,19,5,417.0,71.0,31.87777777777778,307,1.35830618893,0,4,49,11,3
52,KP Pietersen,36,13,1001.0,103.0,45.2,726,1.37878787879,1,4,91,40,2
53,CJ Ferguson,8,6,98.0,23.0,inf,116,0.844827586207,0,0,9,0,1
54,Rashid Khan,3,3,11.0,6.0,inf,8,1.375,0,0,0,1,1
55,DL Vettori,16,10,121.0,29.0,inf,105,1.15238095238,0,0,11,2,1
56,PR Shah,9,2,92.0,29.0,13.333333333333336,85,1.08235294118,0,0,9,2,1
57,X Thalaivan Sargunam,1,1,10.0,10.0,inf,17,0.588235294118,0,0,0,0,1
58,M Manhas,38,15,514.0,42.0,inf,465,1.10537634409,0,0,43,10,3
59,S Sriram,2,0,31.0,27.0,15.5,37,0.837837837838,0,0,3,0,1
60,A Mishra,49,24,340.0,31.0,14.608333333333334,355,0.957746478873,0,0,27,5,3
61,RA Jadeja,108,42,1732.0,48.0,31.160369568702908,1383,1.25234996385,0,0,125,57,2
62,TS Mills,3,0,8.0,6.0,2.6666666666666665,10,0.8,0,0,0,1,1
63,YV Takawale,10,4,192.0,45.0,29.222222222222214,172,1.11627906977,0,0,26,3,1
64,AN Ahmed,6,5,36.0,18.0,inf,25,1.44,0,0,4,1,1
65,BMAJ Mendis,3,1,23.0,12.0,11.5,27,0.8518518518520001,0,0,0,0,1
66,JE Taylor,2,2,3.0,2.0,inf,3,1.0,0,0,0,0,1
67,JP Duminy,73,30,1993.0,78.0,49.83219954648526,1565,1.2734824281200001,0,14,123,78,0
68,JEC Franklin,16,5,327.0,79.0,38.97222222222222,294,1.1122448979600001,0,1,25,9,3
69,DJ Hussey,61,17,1322.0,71.0,32.41428571428572,1055,1.2530805687200002,0,5,90,60,2
70,MG Johnson,26,13,151.0,16.0,inf,147,1.02721088435,0,0,8,7,1
71,SV Samson,62,17,1426.0,102.0,31.660714285714285,1130,1.26194690265,1,7,112,57,2
72,M Vohra,41,12,957.0,95.0,32.973333333333336,714,1.34033613445,0,3,95,35,2
73,PD Collingwood,7,4,203.0,75.0,67.66666666666667,154,1.3181818181799998,0,3,9,13,1
