R Dhawan,SK Raina,0.6667,0.3333,0.0,0.0,0.0,0.0,0.0
IK Pathan,SR Watson,0.5,0.25,0.125,0.0,0.125,0.0,0.0
LA Pomersbach,A Nehra,0.4167,0.1667,0.0,0.0,0.25,0.1667,0.0
MK Tiwary,JJ Bumrah,0.5,0.25,0.0,0.0,0.25,0.0,0.0
SR Tendulkar,JD Ryder,0.25,0.375,0.25,0.0,0.125,0.0,0.0
S Dhawan,Sandeep Sharma,0.4091,0.2273,0.0455,0.0,0.2727,0.0455,0.0
Harbhajan Singh,S Nadeem,0.0,1.0,0.0,0.0,0.0,0.0,0.0
KA Pollard,AB Agarkar,0.0,1.0,0.0,0.0,0.0,0.0,0.0
G Gambhir,KV Sharma,0.3,0.3,0.2,0.0,0.0,0.1,0.1
TM Dilshan,AG Murtaza,0.3,0.6,0.0,0.0,0.1,0.0,0.0
M Muralitharan,P Kumar,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SE Marsh,DJ Hussey,0.2857,0.4286,0.0,0.0,0.0,0.1429,0.1429
LA Pomersbach,V Kohli,0.0,0.6667,0.0,0.0,0.3333,0.0,0.0
S Dhawan,BAW Mendis,0.2,0.4,0.4,0.0,0.0,0.0,0.0
PA Patel,FH Edwards,0.5,0.0,0.0,0.0,0.0,0.0,0.5
DR Martyn,P Kumar,0.0,0.0,0.0,0.0,0.5,0.0,0.5
FY Fazal,M Kartik,0.0,1.0,0.0,0.0,0.0,0.0,0.0
V Kohli,RG Sharma,0.25,0.25,0.25,0.0,0.0,0.25,0.0
LR Shukla,DE Bollinger,0.0,0.0,0.0,0.0,0.0,0.0,1.0
KL Rahul,A Nehra,0.625,0.0625,0.0625,0.0,0.1875,0.0,0.0625
SPD Smith,R Rampaul,0.6667,0.0,0.0,0.0,0.0,0.0,0.3333
HH Gibbs,VRV Singh,0.0,0.75,0.0,0.25,0.0,0.0,0.0
MC Juneja,BA Bhatt,0.5,0.5,0.0,0.0,0.0,0.0,0.0
Yuvraj Singh,AB Dinda,0.1538,0.2308,0.0769,0.0,0.3077,0.2308,0.0
IK Pathan,JP Duminy,0.0,1.0,0.0,0.0,0.0,0.0,0.0
M Vijay,SK Warne,0.2727,0.6364,0.0,0.0,0.0,0.0909,0.0
AJ Finch,UT Yadav,0.3846,0.1538,0.1538,0.0769,0.1538,0.0,0.0769
Shoaib Malik,ST Jayasuriya,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DPMD Jayawardene,R Sharma,0.4,0.4,0.0,0.0,0.1,0.1,0.0
AM Rahane,PP Ojha,0.0909,0.7273,0.0,0.0,0.0909,0.0909,0.0
SB Wagh,SL Malinga,0.0,0.0,0.5,0.0,0.0,0.0,0.5
DT Christian,SK Warne,0.3333,0.6667,0.0,0.0,0.0,0.0,0.0
Salman Butt,IK Pathan,0.4286,0.2857,0.0,0.0,0.2857,0.0,0.0
MF Maharoof,WA Mota,0.0,0.5,0.5,0.0,0.0,0.0,0.0
Karanveer Singh,CH Morris,0.5,0.25,0.0,0.0,0.25,0.0,0.0
RV Uthappa,R Tewatia,0.25,0.625,0.0,0.0,0.0,0.125,0.0
